,number,value,datetime_start,datetime_complete,duration,params_act_fun,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
25,25,75.2,2025-05-12 11:08:51.004355,2025-05-12 11:08:59.769590,0 days 00:00:08.765235,relu,8,0.009377986621425213,1.2022050079275983e-05,0.41866741767396887,tiny,0.9906220133785748,256,PRUNED
26,26,500.0,2025-05-12 11:08:59.771399,2025-05-12 11:09:19.768027,0 days 00:00:19.996628,relu,6,0.002808747189125531,0.003585421311465121,0.603042357616119,tiny,0.9971912528108745,64,COMPLETE
27,27,9.3,2025-05-12 11:09:19.770482,2025-05-12 11:09:28.407686,0 days 00:00:08.637204,relu,9,0.0009302597058136017,0.6798394140475128,0.9576916036188653,tiny,0.9990697402941864,512,PRUNED
28,28,488.3,2025-05-12 11:09:28.409040,2025-05-12 11:09:46.800022,0 days 00:00:18.390982,relu,8,0.003972684425608822,0.0019637053674304455,1.303028125047762,tiny,0.9960273155743912,256,COMPLETE
29,29,83.6,2025-05-12 11:09:46.803218,2025-05-12 11:09:59.954402,0 days 00:00:13.151184,relu,3,0.0005138260081633884,0.00012322548431886957,2.3279596067008153,tiny,0.9994861739918366,8,PRUNED
30,30,104.7,2025-05-12 11:09:59.957278,2025-05-12 11:10:09.332185,0 days 00:00:09.374907,relu,7,0.09820647681551131,0.0005473953163415233,0.7648606028126597,tiny,0.9017935231844887,128,PRUNED
31,31,207.6,2025-05-12 11:10:09.333812,2025-05-12 11:10:28.921647,0 days 00:00:19.587835,relu,6,0.0022733002476537987,0.005168714474573409,0.5932882864371514,tiny,0.9977266997523462,64,COMPLETE
32,32,427.0,2025-05-12 11:10:28.923393,2025-05-12 11:10:48.368723,0 days 00:00:19.445330,relu,6,0.005867020250929529,0.001954872356634644,0.6090380088359052,tiny,0.9941329797490704,64,COMPLETE
33,33,9.5,2025-05-12 11:10:48.373835,2025-05-12 11:10:58.196608,0 days 00:00:09.822773,relu,6,0.0011801398266155464,0.03848052774973169,0.9920615933626264,tiny,0.9988198601733844,64,PRUNED
34,34,171.7,2025-05-12 11:10:58.198148,2025-05-12 11:11:18.411269,0 days 00:00:20.213121,relu,6,0.002680616317637904,0.00846714414070638,0.43076544255777877,tiny,0.9973193836823621,64,PRUNED
