,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999269.154019085,2022-01-04,-0.0007308459809149,2022-01-04
2,992340.0389217722,2022-01-05,-0.0069341829170286,2022-01-05
3,990785.8700432664,2022-01-06,-0.0015661656463992,2022-01-06
4,992562.5472628556,2022-01-07,0.0017931999974036,2022-01-07
5,990432.4210508118,2022-01-10,-0.0021460876374169,2022-01-10
6,994497.259534687,2022-01-11,0.0041041048308603,2022-01-11
7,991258.7251229514,2022-01-12,-0.0032564538320104,2022-01-12
8,986006.4414788513,2022-01-13,-0.0052986001646025,2022-01-13
9,977528.2297597884,2022-01-14,-0.0085985358334442,2022-01-14
10,954280.8294085006,2022-01-18,-0.0237818199449857,2022-01-18
11,943046.429869892,2022-01-19,-0.0117726346295482,2022-01-19
12,941333.0009368703,2022-01-20,-0.0018169083501625,2022-01-20
13,929647.684724968,2022-01-21,-0.0124135839286125,2022-01-21
14,930493.039211052,2022-01-24,0.0009093278023211,2022-01-24
15,938071.0976036758,2022-01-25,0.0081441322753463,2022-01-25
16,940828.427480278,2022-01-26,0.0029393612953707,2022-01-26
17,937476.0863024064,2022-01-27,-0.0035631801505507,2022-01-27
18,956988.1147123032,2022-01-28,0.0208133612099443,2022-01-28
19,956031.1347977635,2022-01-31,-0.0009999914312699,2022-01-31
20,957714.5958472592,2022-02-01,0.0017608851722719,2022-02-01
21,958228.0160261838,2022-02-02,0.0005360889153729,2022-02-02
22,953945.088396862,2022-02-03,-0.0044696330703032,2022-02-03
23,956086.1663772584,2022-02-04,0.0022444457300938,2022-02-04
24,956281.8312270776,2022-02-07,0.0002046518992744,2022-02-07
25,962470.7570761988,2022-02-08,0.0064718638867995,2022-02-08
26,968334.4445881308,2022-02-09,0.0060923279682232,2022-02-09
27,958531.1064252052,2022-02-10,-0.0101239176378729,2022-02-10
28,945521.1990806656,2022-02-11,-0.0135727544545314,2022-02-11
29,940155.1795174142,2022-02-14,-0.0056751975190707,2022-02-14
30,954021.4967606316,2022-02-15,0.0147489664954407,2022-02-15
31,953702.1281153642,2022-02-16,-0.0003347604287239,2022-02-16
32,935825.3104443436,2022-02-17,-0.0187446553216226,2022-02-17
33,930867.6498236086,2022-02-18,-0.0052976346818202,2022-02-18
34,920941.6505045968,2022-02-22,-0.0106631692710479,2022-02-22
35,909114.707215752,2022-02-23,-0.0128422286931695,2022-02-23
36,906858.6525230828,2022-02-24,-0.0024815951988922,2022-02-24
37,934687.0403871804,2022-02-25,0.0306865769948523,2022-02-25
38,931488.7681075326,2022-02-28,-0.0034217573812974,2022-02-28
39,909244.4153638805,2022-03-01,-0.0238804304520442,2022-03-01
40,925976.0874648936,2022-03-02,0.0184017320516807,2022-03-02
41,926767.935961918,2022-03-03,0.0008551500494924,2022-03-03
42,919961.7645761378,2022-03-04,-0.0073439866893064,2022-03-04
43,895066.221651768,2022-03-07,-0.027061497426298,2022-03-07
44,889384.020990925,2022-03-08,-0.0063483578347498,2022-03-08
45,910932.2146993144,2022-03-09,0.0242282222300114,2022-03-09
46,910392.4908340876,2022-03-10,-0.0005924961885389,2022-03-10
47,904435.8497503398,2022-03-11,-0.0065429374074587,2022-03-11
48,907970.9848530352,2022-03-14,0.0039086631779039,2022-03-14
49,926289.901231148,2022-03-15,0.0201756627510272,2022-03-15
50,937737.261677891,2022-03-16,0.0123582913205986,2022-03-16
51,951153.49299984,2022-03-17,0.0143070259338351,2022-03-17
52,955498.4901154636,2022-03-18,0.004568134530968,2022-03-18
53,958221.8002902188,2022-03-21,0.0028501459739889,2022-03-21
54,964213.28318224,2022-03-22,0.0062527098529865,2022-03-22
55,957443.3303513454,2022-03-23,-0.0070212192146443,2022-03-23
56,970432.8285811084,2022-03-24,0.0135668585471229,2022-03-24
57,977703.7550835956,2022-03-25,0.0074924572709667,2022-03-25
58,978340.7345190851,2022-03-28,0.0006515055630886,2022-03-28
59,981141.8074465488,2022-03-29,0.0028630852510096,2022-03-29
60,984543.3819389996,2022-03-30,0.0034669549973651,2022-03-30
61,968735.164465298,2022-03-31,-0.0160563950392598,2022-03-31
62,973141.9064000096,2022-04-01,0.0045489645636471,2022-04-01
63,972965.739079758,2022-04-04,,2022-04-04
64,972363.5445152476,2022-04-05,-0.0006189267929207,2022-04-05
65,979539.5868290449,2022-04-06,0.0073799993369501,2022-04-06
66,981570.9837399486,2022-04-07,0.0020738282946581,2022-04-07
67,988088.2590525708,2022-04-08,0.0066396372963166,2022-04-08
68,974233.2871338772,2022-04-11,-0.0140219983303702,2022-04-11
69,970616.7807814413,2022-04-12,-0.0037121564210513,2022-04-12
70,976155.4264308704,2022-04-13,0.0057063155707757,2022-04-13
71,971923.6840414088,2022-04-14,-0.0043351112690466,2022-04-14
72,968075.2887784428,2022-04-18,-0.0039595652685032,2022-04-18
73,978133.291031464,2022-04-19,0.0103896901094466,2022-04-19
74,985303.168022591,2022-04-20,0.0073301635440361,2022-04-20
75,976727.8503157428,2022-04-21,-0.0087032275802563,2022-04-21
76,953822.5777853588,2022-04-22,-0.0234510283729286,2022-04-22
77,964259.1976860812,2022-04-25,0.0109418880867286,2022-04-25
78,947681.85032235,2022-04-26,-0.0171917959439865,2022-04-26
79,942267.6429121174,2022-04-27,-0.0057131065751558,2022-04-27
80,953360.6236815876,2022-04-28,0.0117726432112079,2022-04-28
81,930742.089360249,2022-04-29,-0.0237250561429659,2022-04-29
82,920422.727304253,2022-05-02,-0.0110872412174773,2022-05-02
83,919089.5264604192,2022-05-03,-0.0014484658019459,2022-05-03
84,934422.011252274,2022-05-04,0.0166822538506157,2022-05-04
85,914034.6337450718,2022-05-05,-0.0218181691587935,2022-05-05
86,917383.1902539372,2022-05-06,0.0036634897467127,2022-05-06
87,904542.1831594624,2022-05-09,-0.0139974301152392,2022-05-09
88,906460.0017893986,2022-05-10,0.0021202091683967,2022-05-10
89,902677.0159304814,2022-05-11,-0.0041733621466467,2022-05-11
90,900414.2837716603,2022-05-12,-0.0025066907862815,2022-05-12
91,905547.8876161427,2022-05-13,0.0057013798392655,2022-05-13
92,911518.7356703648,2022-05-16,0.0065936303710456,2022-05-16
93,918222.072248734,2022-05-17,0.0073540304944355,2022-05-17
94,917303.873756928,2022-05-18,-0.0009999743194556,2022-05-18
95,915113.4344478878,2022-05-19,-0.002387910235317,2022-05-19
96,914973.1529630704,2022-05-20,-0.0001532940939744,2022-05-20
97,918430.441836079,2022-05-23,0.0037785686517823,2022-05-23
98,917215.4962642367,2022-05-24,-0.0013228498495905,2022-05-24
99,918428.5526926462,2022-05-25,0.001322542448694,2022-05-25
100,922206.7767877236,2022-05-26,0.0041137920679845,2022-05-26
101,927762.6378437576,2022-05-27,0.0060245285502957,2022-05-27
102,926283.4356006468,2022-05-31,-0.0015943757409206,2022-05-31
103,924824.3078642916,2022-06-01,-0.0015752497348816,2022-06-01
104,934323.03445853,2022-06-02,0.0102708444333321,2022-06-02
105,930474.367736442,2022-06-03,-0.0041192035090074,2022-06-03
106,930838.3417685542,2022-06-06,0.0003911704016066,2022-06-06
107,934174.709971832,2022-06-07,0.0035842616849437,2022-06-07
108,929375.402846584,2022-06-08,-0.0051374834643005,2022-06-08
109,917105.5778571734,2022-06-09,-0.0132022269492276,2022-06-09
110,901647.172021274,2022-06-10,-0.0168556447688587,2022-06-10
111,879950.3345653567,2022-06-13,-0.024063556265893,2022-06-13
112,880800.1752131572,2022-06-14,0.0009657825156919,2022-06-14
113,893394.5404606089,2022-06-15,0.0142987769551745,2022-06-15
114,878645.3338199266,2022-06-16,-0.0165091748076701,2022-06-16
115,878455.5473584513,2022-06-17,-0.0002159989408356,2022-06-17
116,891111.2707322115,2022-06-21,0.0144067886096417,2022-06-21
117,891960.2684617991,2022-06-22,0.0009527404236397,2022-06-22
118,901234.201689323,2022-06-23,0.0103972492446517,2022-06-23
119,924434.12022763,2022-06-24,0.0257423858247056,2022-06-24
120,924382.0652113796,2022-06-27,-5.631014164397818e-05,2022-06-27
121,911345.4154932208,2022-06-28,-0.0141030967700327,2022-06-28
122,917210.9437782894,2022-06-29,0.0064361198129188,2022-06-29
123,910268.6937118678,2022-06-30,-0.0075688696406348,2022-06-30
124,919198.5682652736,2022-07-01,0.0098101523375386,2022-07-01
125,912839.0202502742,2022-07-05,-0.0069185791128909,2022-07-05
126,915133.5105914609,2022-07-06,,2022-07-06
127,921959.770644199,2022-07-07,0.0074593050890752,2022-07-07
128,921978.8205938678,2022-07-08,2.0662452175690404e-05,2022-07-08
129,920445.4732100292,2022-07-11,-0.0016631047802713,2022-07-11
130,921420.1869122768,2022-07-12,0.0010589586571037,2022-07-12
131,913615.2888875576,2022-07-13,-0.0084705090419971,2022-07-13
132,915465.8843076169,2022-07-14,0.0020255740491301,2022-07-14
133,934020.6270061872,2022-07-15,0.0202680875569749,2022-07-15
134,920027.1283944622,2022-07-18,-0.0149820016893826,2022-07-18
135,939366.937100532,2022-07-19,0.0210209113505379,2022-07-19
136,931362.2300073772,2022-07-20,-0.0085213847507369,2022-07-20
137,937021.591237682,2022-07-21,0.0060764341176471,2022-07-21
138,932223.7973335224,2022-07-22,-0.0051202597133566,2022-07-22
139,936491.111629932,2022-07-25,0.0045775642164633,2022-07-25
