,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,88.48503112792969,89.27483740277849,88.43643211464202,88.73048098963713,110737200.0,2.0,2.967005442159447,91.23561492377708,78.91390137260963,62.807145845180905,107.47246143801426,29.81131733326948,82.60845616658528,76.49038645426432,28.6200008392334,53.06833717288458
0,2020-07-01,AMGN,218.3364715576172,219.2864439348501,199.04632301098502,201.56243218201476,6575800.0,2.0,3.306038797545824,211.28456641818326,182.02393883084017,61.27966229508746,272.79563700445874,47.009891018958335,195.33914489746093,196.31466522216797,28.6200008392334,53.06833717288458
0,2020-07-01,AXP,88.49398803710938,91.23207571123083,88.10820538966054,89.6230950242072,3301000.0,2.0,-0.37398174653026217,106.11618558128266,84.33574007789703,48.5048184333735,-62.638236620008556,1.7521100887499919,93.45101445515951,87.1573917388916,28.6200008392334,53.06833717288458
0,2020-07-01,BA,180.32000732421875,190.61000061035156,180.0399932861328,185.8800048828125,49036700.0,2.0,5.443193477575562,220.7211391056491,160.932863274722,50.92577108139666,24.220608346258853,15.936440150548531,176.4723347981771,155.6141675313314,28.6200008392334,53.06833717288458
0,2020-07-01,CAT,113.8245620727539,116.84037698508004,113.66203267162433,116.82232811334013,2807800.0,2.0,1.2006182296809698,123.23290285866103,106.93903241355575,52.86542373799907,35.36640571138131,14.542191796061802,112.65585708618164,107.21597455342611,28.6200008392334,53.06833717288458
0,2020-07-01,CRM,190.52479553222656,191.4481869134395,186.1263200960543,186.76176620185117,4754600.0,2.0,4.162434677702464,193.68384360488258,167.83669167343774,58.104315424928586,139.95270652390553,29.22575205999815,178.90936635335285,169.7322909037272,28.6200008392334,53.06833717288458
0,2020-07-01,CSCO,39.545021057128906,40.11166689050807,39.49350660859427,39.957126820029615,17129500.0,2.0,0.24773865211512458,41.57818158735282,37.575387824878625,53.16055444141824,18.696776830106838,13.443315223320077,39.529850260416666,37.92134901682536,28.6200008392334,53.06833717288458
0,2020-07-01,CVX,70.36943054199219,72.8992555791753,70.31321234399532,71.70260757762823,6379400.0,2.0,-0.922082819477211,82.20762506388087,66.48451284505467,47.82919028845514,-93.28380480837093,8.373734116379204,74.45408833821615,72.17489000956218,28.6200008392334,53.06833717288458
0,2020-07-01,DIS,111.6309585571289,114.1893495702505,110.91974339997402,111.44327468613132,11930900.0,2.0,-0.9581241130900793,125.69831066411959,105.14592532831205,49.23569553322891,-76.95774588685643,1.559167909779759,116.19655024210611,110.02001876831055,28.6200008392334,53.06833717288458
0,2020-07-01,GS,176.10736083984375,178.04162533543152,174.2800560173752,177.27504927532576,2620100.0,2.0,0.5522377368579896,198.40888933170157,167.03462568294685,50.962756229298094,-34.04199816040999,4.024837736230514,179.82483978271483,169.10854161580403,28.6200008392334,53.06833717288458
0,2020-07-01,HD,221.37139892578125,223.31615579870078,220.2830516214856,222.70952951839044,3677300.0,2.0,2.1216402567092416,230.57445664750966,212.6625703300294,55.50968352867179,24.031677310194976,8.960754191479058,220.3712361653646,206.4816162109375,28.6200008392334,53.06833717288458
0,2020-07-01,HON,130.24781799316406,132.38983930577763,129.2174770564742,131.25104578344266,2609500.0,2.0,-0.2972587291505988,146.38891745023642,121.03081140108196,49.992537534830625,-33.604062764119945,2.4809658461520128,132.755295308431,127.12897618611653,28.6200008392334,53.06833717288458
0,2020-07-01,IBM,90.75141906738281,92.81081891732181,90.6212731201439,92.07586883173802,4869967.0,2.0,-0.9692021825156161,102.95281538327403,86.00059495608143,47.489721352504986,-74.89015185085866,4.811057002994658,94.51498387654622,93.17172991434732,28.6200008392334,53.06833717288458
0,2020-07-01,INTC,52.42576599121094,53.51332417899556,52.38119111909587,53.40635196720706,14748100.0,2.0,-0.5142136385119471,57.47118895303816,50.3604425166884,48.71405523172307,-79.4975528485655,8.202548367798213,54.47935574849446,53.4965461730957,28.6200008392334,53.06833717288458
0,2020-07-01,JNJ,122.8465576171875,123.73040392051709,122.56651917278526,123.11783651459717,6174800.0,2.0,-1.4586019572309397,130.24828277825353,119.86846526862146,46.815803362313815,-95.6735629011239,14.341903067487516,126.13528366088867,127.65763333638509,28.6200008392334,53.06833717288458
0,2020-07-01,JPM,81.15140533447266,83.28330208399872,80.95126491822495,82.56976867112554,18755700.0,2.0,-0.9634096427584353,98.12805369412138,76.30048863375947,46.82894750198089,-79.54118068986176,2.2768328126228097,86.1948725382487,83.03153813680014,28.6200008392334,53.06833717288458
0,2020-07-01,KO,38.78710174560547,39.40153295748046,38.691907526622074,38.88229596458886,14316500.0,2.0,-0.3854035171911292,42.76602588234629,37.20176090659414,46.685858363324584,-73.25833357648108,10.448897694765973,39.93366864522298,39.67661692301432,28.6200008392334,53.06833717288458
